store_id	name	n_texts	s1	s2	s1_hits	s2_hits
konoba-dubrava	Konoba Dubrava	5	0	0		
pantarul	Pantarul	6	0	0		
kopun	Restaurant Kopun	5	0	1		fell short
lucin-kantun	Lucin Kantun	4	0	0		
marco-polo	Marco Polo	4	0	1		typical
moskar	Moskar Street Food (Konoba Moskar)	3	0	0		
konoba-tabak	Konoba Tabak	4	0	0		
konoba-rozario	Konoba Rozario	2	0	0		
nautika	Nautika	5	0	0		
zuzori	Zuzori	4	0	0		
proto	Fish Restaurant Proto	5	0	0		
kamenice	Buffet Kamenice	6	3	0	Portions are generous|portions are generous|Portions are generous	
glorijet	Bistro Glorijet	5	0	0		
orsan	Restaurant Orsan (Yacht Club Orsan)	6	0	0		
bota-oyster-sushi-bar	Bota Oyster & Sushi Bar	5	0	0		
barba	Barba	5	0	0		
lokanda-peskarija	Lokanda Peskarija	5	0	0		
holy-burek	Holy Burek	2	0	0		
pizzeria-oliva	Pizzeria Oliva	3	0	0		
pizzeria-tabasco	Pizzeria Tabasco	2	0	0		
spaghetteria-toni	Spaghetteria Toni	2	1	0	huge	
pile-sandwich-bar	Sandwich Bar Pile	3	1	0	portions are generous	
peppinos-gelato	Peppino's Gelato Factory	5	0	0		
gianni-dubrovnik	Gianni	3	0	0		
dolce-vita	Dolce Vita	5	0	0		
cogito-coffee-dubrovnik	Cogito Coffee	4	0	1		mediocre
gradska-kavana-arsenal	Gradska kavana Arsenal	3	0	0		
babic-pekara	Pekara Babić	2	0	0		
dvino	D'Vino Wine Bar	5	0	0		
marden	M'arden	4	0	0		
bura-bistro	Bura Bistro Wine & Cocktails	5	0	0		
bakus-wine-bar	Bakus Wine Bar	5	0	0		
taj-mahal-dubrovnik	Taj Mahal	4	0	0		
sesame-dubrovnik	Trattoria Sesame	2	0	0		
bosancica-dubrovnik	Bosančica Dubrovnik	2	0	0		
azur-dubrovnik	Azur	3	0	0		
