store_id	name	n_texts	s1	s2	s1_hits	s2_hits
gasthaus-zum-schwanen	Gasthaus zum Schwanen	4	0	0		
zum-hechten	Altstadthotel & Restaurant Zum Hechten	4	0	0		
hotel-hirsch	Restaurant im Hotel Hirsch	3	0	0		
fruehlingsgarten	Frühlingsgarten	4	0	0		
mauchers	Restaurant Maucher's	7	0	0		
ritterstuben	Restaurant Ritterstuben	1	0	0		
gasthof-krone	Gasthof Krone	2	0	0		
madame-pluesch	Nostalgie-Restaurant Madame Plüsch	4	0	0		
haus-der-gebirgsjaeger	Haus der Gebirgsjäger	5	0	0		
hotel-alatsee	Hotel & Restaurant Alatsee	2	0	0		
beim-ditsch	Lila Haus – Beim Ditsch	4	0	0		
restaurant-ludwigs	Restaurant Ludwigs（Hotel Ludwigs）	4	0	0		
restaurant-mueller-hohenschwangau	Restaurant Müller（Hotel Müller Hohenschwangau）	7	0	0		
schneiderhanser-hotel-helmer	Restaurant Schneiderhanser（Hotel Helmer）	3	0	0		
wirtshaus-weinbauer	s'Wirtshaus zum Weinbauer	9	2	1	big portion|portions are big	So so
louis-ii-ruebezahl	Restaurant Louis II.（Hotel Das Rübezahl）	3	0	0		
schlossrestaurant-neuschwanstein	Schlossrestaurant Neuschwanstein	1	0	0		
berggasthaus-bleckenau	Berggasthaus Bleckenau	3	0	0		
restaurant-cafe-kainz	Restaurant Café Kainz	1	0	0		
alpenrose-am-see	Alpenrose am See（AMERON Neuschwanstein Alpsee Resort）	1	0	0		
konditorei-kurcafe	Konditorei Kurcafé（Café-Restaurant Lumen / Hotel Schlosskrone）	4	0	0		
cafe-freiday	Café FREIDAY	3	0	0		
caffe-lucca	Caffè Lucca	3	0	0		
bio-cafe-baumgarten	Bio Café Baumgarten	9	0	2		not so good|so so
cafe-bistro-seaside	Café Bistro Seaside	9	0	0		
schlossbackstube-cafe-eis	Schlossbackstube Café & Eis	9	1	1	very large	typical
schwansee-kiosk	Schwansee Kiosk	6	0	0		
schlossbrauhaus-schwangau	Schlossbrauhaus Schwangau	9	0	1		meh
markthalle-fuessen	Markthalle Füssen	9	0	1		underwhelm
la-perla-fuessen	La Perla Ristorante Pizzeria	9	0	1		lacked flavour
stegos-fuessen	Griechisches Restaurant Stego's	8	1	0	portions are generous	
annapurna-fuessen	Restaurant Annapurna	9	2	0	large portion|generous portion	
wok-in-fuessen	Wok In	9	2	1	large portion|generous portion	average
il-pescatore-fuessen	Il Pescatore	2	0	0		
kyodai-fuessen	KYŌDAI	2	0	0		
