store_id	name	n_texts	s1	s2	s1_hits	s2_hits
zum-mundschenk	Restaurant Zum Mundschenk Auf Schönburg	4	0	0		
schoenburger-weinstuben	Schönburger Weinstuben	1	0	0		
weinhaus-weiler	Hotel Restaurant Weinhaus Weiler	3	0	0		
goldener-pfropfenzieher	Weinhotel Goldener Pfropfenzieher	5	0	0		
heimathafen-550	Heimathafen 550	4	0	0		
guenderodehaus	Günderodehaus（Günderodefilmhaus）	3	0	0		
oppermanns-kronprinzen	Oppermanns Restaurant im Landhotel Zum Kronprinzen	5	0	0		
schloss-rheinfels-auf-scharffeneck	Schloss-Restaurant „Auf Scharffeneck“（Romantik Hotel Schloss Rheinfels）	9	0	1		disappointed
burgschaenke-der-landgraf	Burgschänke „Der Landgraf“（Schloss Rheinfels）	7	0	1		mediocre
gasthaus-zur-krone-st-goar	Gasthaus „Zur Krone“	8	1	1	portions are generous	bland
hotel-keutmann	Hotel-Restaurant-Café Keutmann	7	0	0		
hotel-loreleyblick	Hotel Loreleyblick（Restaurant & Café）	7	0	0		
cafe-restaurant-loreley-st-goarshausen	Café Restaurant Loreley（St. Goarshausen・対岸）	5	1	0	large portion	
altes-haus-bacharach	Altes Haus	2	0	0		
stuebers-restaurant	Stübers Restaurant（Rhein-Hotel Bacharach）	8	0	0		
an-der-stadtmauer-bacharach	Restaurant „An der Stadtmauer“	9	1	0	plenty of food	
posthof-bacharach	Posthof Bacharach	2	0	0		
luz-de-mar-am-rhein	Luz de Mar am Rhein	7	0	0		
pippo-bistro-alt-backstub	Pippo Bistro „Zur Alten Backstube“	8	0	0		
lanius-knab-strausswirtschaft	Straußwirtschaft im VDP.Weingut Lanius-Knab	4	0	0		
bastian-zum-gruenen-baum	Weinstube Zum Grünen Baum（Weingut Friedrich Bastian）	4	0	0		
heidrich-weinkrug	Weinstube „Zum Weinkrug“（Weinhaus Karl Heidrich）	6	0	0		
kurpfaelzische-muenze	Kurpfälzische Münze	3	0	0		
cafe-und-baecker-st-goar	Café u. Bäcker St. Goar（Bäckerei-Konditorei Café St. Goar）	5	0	0		
konditorei-cafe-bonsch	Konditorei Café Bonsch	6	0	0		
eiscafe-italia-76-bacharach	Eiscafé Italia 76 (Carpe Diem)	3	0	0		
eiscafe-la-dolce-vita-oberwesel	Eiscafé La Dolce Vita	2	0	0		
